model_a,model_b,suite,n_tasks,mean_diff,ci_low,ci_high,p_value
abhinand__MedEmbed-base-v0.1,google__gemini-3.1-flash-lite-preview,full,12,0.0544,-0.0436,0.1583,0.2964
abhinand__MedEmbed-base-v0.1,intfloat__multilingual-e5-small,full,12,0.042,0.0251,0.0578,0.0
abhinand__MedEmbed-base-v0.1,ncbi__MedCPT,full,12,0.0768,0.0223,0.1456,0.0002
abhinand__MedEmbed-base-v0.1,sentence-transformers__all-MiniLM-L6-v2,full,12,0.013,-0.0095,0.0366,0.2822
abhinand__MedEmbed-large-v0.1,abhinand__MedEmbed-small-v0.1,full,12,0.0025,-0.0071,0.012,0.5916
abhinand__MedEmbed-large-v0.1,deepseek__deepseek-v4-flash,full,12,0.0245,-0.0472,0.1003,0.5116
abhinand__MedEmbed-large-v0.1,google__gemini-3.1-flash-lite-preview,full,12,0.052,-0.0492,0.1596,0.3316
abhinand__MedEmbed-large-v0.1,intfloat__multilingual-e5-small,full,12,0.0396,0.0263,0.0533,0.0
abhinand__MedEmbed-large-v0.1,ncbi__MedCPT,full,12,0.0744,0.0212,0.1378,0.0008
abhinand__MedEmbed-large-v0.1,sentence-transformers__all-MiniLM-L6-v2,full,12,0.0107,-0.0092,0.0298,0.296
abhinand__MedEmbed-small-v0.1,deepseek__deepseek-v4-flash,full,12,0.022,-0.0485,0.0977,0.5546
abhinand__MedEmbed-small-v0.1,google__gemini-3.1-flash-lite-preview,full,12,0.0495,-0.053,0.1586,0.37
abhinand__MedEmbed-small-v0.1,intfloat__multilingual-e5-small,full,12,0.0371,0.0214,0.0522,0.0
abhinand__MedEmbed-small-v0.1,ncbi__MedCPT,full,12,0.0719,0.0177,0.1345,0.0042
abhinand__MedEmbed-small-v0.1,sentence-transformers__all-MiniLM-L6-v2,full,12,0.0082,-0.0111,0.0271,0.4222
deepseek__deepseek-v4-flash,google__gemini-3.1-flash-lite-preview,full,12,0.0275,-0.0235,0.0831,0.3148
deepseek__deepseek-v4-flash,intfloat__multilingual-e5-small,full,12,0.0152,-0.0626,0.0915,0.7126
deepseek__deepseek-v4-flash,ncbi__MedCPT,full,12,0.0499,-0.0391,0.139,0.2788
sentence-transformers__all-MiniLM-L6-v2,deepseek__deepseek-v4-flash,full,12,0.0138,-0.0586,0.0922,0.7296
intfloat__multilingual-e5-small,google__gemini-3.1-flash-lite-preview,full,12,0.0124,-0.0927,0.1217,0.8264
google__gemini-3.1-flash-lite-preview,ncbi__MedCPT,full,12,0.0224,-0.0903,0.1279,0.6944
sentence-transformers__all-MiniLM-L6-v2,google__gemini-3.1-flash-lite-preview,full,12,0.0414,-0.0628,0.153,0.457
intfloat__multilingual-e5-small,ncbi__MedCPT,full,12,0.0348,-0.0208,0.1025,0.2724
sentence-transformers__all-MiniLM-L6-v2,intfloat__multilingual-e5-small,full,12,0.029,0.0054,0.0537,0.0152
sentence-transformers__all-MiniLM-L6-v2,ncbi__MedCPT,full,12,0.0638,0.0185,0.1162,0.001
Alibaba-NLP__gte-Qwen2-7B-instruct,Alibaba-NLP__gte-Qwen2-1.5B-instruct,lifted,7,0.0238,0.0139,0.0344,0.0
Alibaba-NLP__gte-Qwen2-1.5B-instruct,BAAI__bge-base-en-v1.5,lifted,7,0.0641,0.0041,0.1225,0.0328
Alibaba-NLP__gte-Qwen2-1.5B-instruct,BAAI__bge-large-en-v1.5,lifted,7,0.0611,0.0082,0.1145,0.0224
Alibaba-NLP__gte-Qwen2-1.5B-instruct,BAAI__bge-m3,lifted,7,0.0769,0.0233,0.1339,0.0034
Alibaba-NLP__gte-Qwen2-1.5B-instruct,BAAI__bge-small-en-v1.5,lifted,7,0.0798,0.0215,0.1366,0.004
Alibaba-NLP__gte-Qwen2-1.5B-instruct,FremyCompany__BioLORD-2023,lifted,7,0.0821,0.0146,0.1466,0.0154
Alibaba-NLP__gte-Qwen2-1.5B-instruct,GritLM__GritLM-7B,lifted,7,0.2244,0.118,0.3614,0.0
Alibaba-NLP__gte-Qwen2-1.5B-instruct,Linq-AI-Research__Linq-Embed-Mistral,lifted,7,0.0095,-0.0259,0.0593,0.7406
Alibaba-NLP__gte-Qwen2-1.5B-instruct,NeuML__pubmedbert-base-embeddings,lifted,7,0.1253,0.0561,0.194,0.0
Alibaba-NLP__gte-Qwen2-1.5B-instruct,Qwen__Qwen3-Embedding-0.6B,lifted,7,0.0056,-0.0238,0.0363,0.7178
Qwen__Qwen3-Embedding-4B,Alibaba-NLP__gte-Qwen2-1.5B-instruct,lifted,7,0.0339,0.0124,0.056,0.0004
Qwen__Qwen3-Embedding-8B,Alibaba-NLP__gte-Qwen2-1.5B-instruct,lifted,7,0.0374,0.0202,0.0555,0.0
